喫茶店,きっさてん,,coffee lounge,en-us,JLPT 5
切手,きって,,postage stamp,en-us,JLPT 5
切符,きっぷ,,ticket,en-us,JLPT 5
昨日,きのう,,yesterday,en-us,JLPT 5
九,きゅう / く,,nine,en-us,JLPT 5
牛肉,ぎゅうにく,,beef,en-us,JLPT 5
牛乳,ぎゅうにゅう,,milk,en-us,JLPT 5
今日,きょう,,today,en-us,JLPT 5
教室,きょうしつ,,classroom,en-us,JLPT 5
兄弟,きょうだい,,(humble) siblings,en-us,JLPT 5
去年,きょねん,,last year,en-us,JLPT 5
嫌い,きらい,,hate,en-us,JLPT 5
切る,きる,,to cut,en-us,JLPT 5
着る,きる,,to put on from the shoulders down,en-us,JLPT 5
,きれい,,"pretty,clean",en-us,JLPT 5
,,キロ/キログラム,kilogram,en-us,JLPT 5
,,キロ/キロメートル,kilometre,en-us,JLPT 5
銀行,ぎんこう,,bank,en-us,JLPT 5
金曜日,きんようび,,Friday,en-us,JLPT 5
薬,くすり,,medicine,en-us,JLPT 5
,ください,,please,en-us,JLPT 5
果物,くだもの,,fruit,en-us,JLPT 5
口,くち,,"mouth,opening",en-us,JLPT 5
靴,くつ,,shoes,en-us,JLPT 5
靴下,くつした,,socks,en-us,JLPT 5
国,くに,,country,en-us,JLPT 5
曇り,くもり,,cloudy weather,en-us,JLPT 5
曇る,くもる,,"to become cloudy,to become dim",en-us,JLPT 5
暗い,くらい,,gloomy,en-us,JLPT 5
,,クラス,class,en-us,JLPT 5
,,グラム,gram,en-us,JLPT 5
来る,くる,,to come,en-us,JLPT 5
車,くるま,,"car,vehicle",en-us,JLPT 5
黒,くろ,,black,en-us,JLPT 5
黒い,くろい,,black,en-us,JLPT 5
警官,けいかん,,policeman,en-us,JLPT 5
今朝,けさ,,this morning,en-us,JLPT 5
消す,けす,,"to erase,to turn off power",en-us,JLPT 5
結構,けっこう,,"splendid,enough",en-us,JLPT 5
結婚,けっこん,,marriage,en-us,JLPT 5
月曜日,げつようび,,Monday,en-us,JLPT 5
玄関,げんかん,,entry hall,en-us,JLPT 5
元気,げんき,,"health, vitality",en-us,JLPT 5
五,ご,,five,en-us,JLPT 5
公園,こうえん,,park,en-us,JLPT 5
交差点,こうさてん,,intersection,en-us,JLPT 5
紅茶,こうちゃ,,black tea,en-us,JLPT 5
交番,こうばん,,police box,en-us,JLPT 5
声,こえ,,voice,en-us,JLPT 5
,,コート,"coat,tennis court",en-us,JLPT 5
,,コーヒー,coffee,en-us,JLPT 5
,ここ,,here,en-us,JLPT 5
午後,ごご,,afternoon,en-us,JLPT 5
九日,ここのか,,"nine days, ninth day",en-us,JLPT 5
九つ,ここのつ,,nine,en-us,JLPT 5
午前,ごぜん,,morning,en-us,JLPT 5
答える,こたえる,,to answer,en-us,JLPT 5
,こちら,,this person or way,en-us,JLPT 5
,こっち,,this person or way,en-us,JLPT 5
,,コップ,a glass,en-us,JLPT 5
今年,ことし,,this year,en-us,JLPT 5
言葉,ことば,,"word,language",en-us,JLPT 5
子供,こども,,child,en-us,JLPT 5
,この,,this,en-us,JLPT 5
御飯,ごはん,,"cooked rice,meal",en-us,JLPT 5
,,コピーする,to copy,en-us,JLPT 5
困る,こまる,,to be worried,en-us,JLPT 5
,これ,,this,en-us,JLPT 5
今月,こんげつ,,this month,en-us,JLPT 5
今週,こんしゅう,,this week,en-us,JLPT 5
,こんな,,such,en-us,JLPT 5
今晩,こんばん,,this evening,en-us,JLPT 5
,さあ,,well…,en-us,JLPT 5
財布,さいふ,,wallet,en-us,JLPT 5
魚,さかな,,fish,en-us,JLPT 5
先,さき,,"the future,previous",en-us,JLPT 5
咲く,さく,,to bloom,en-us,JLPT 5
作文,さくぶん,,"composition,writing",en-us,JLPT 5
差す,さす,,"to stretch out hands,to raise an umbrella",en-us,JLPT 5
雑誌,ざっし,,magazine,en-us,JLPT 5
砂糖,さとう,,sugar,en-us,JLPT 5
寒い,さむい,,cold,en-us,JLPT 5
さ来年,さらいねん,,year after next,en-us,JLPT 5
三,さん,,three,en-us,JLPT 5
散歩,さんぽする,,to stroll,en-us,JLPT 5
四,し / よん,,four,en-us,JLPT 5
塩,しお,,salt,en-us,JLPT 5
,しかし,,however,en-us,JLPT 5
時間,じかん,,time,en-us,JLPT 5
仕事,しごと,,job,en-us,JLPT 5
辞書,じしょ,,dictionary,en-us,JLPT 5
静か,しずか,,quiet,en-us,JLPT 5
下,した,,below,en-us,JLPT 5
七,しち / なな,,seven,en-us,JLPT 5
質問,しつもん,,question,en-us,JLPT 5
自転車,じてんしゃ,,bicycle,en-us,JLPT 5
自動車,じどうしゃ,,automobile,en-us,JLPT 5
死ぬ,しぬ,,to die,en-us,JLPT 5
字引,じびき,,dictionary,en-us,JLPT 5
自分,じぶん,,oneself,en-us,JLPT 5
閉まる,しまる,,"to close,to be closed",en-us,JLPT 5
閉める,しめる,,to close something,en-us,JLPT 5
締める,しめる,,to tie,en-us,JLPT 5
,じゃ/じゃあ,,well then…,en-us,JLPT 5
写真,しゃしん,,photograph,en-us,JLPT 5
,,シャツ,shirt,en-us,JLPT 5
